sentence,label
음... 처음 뵙겠습니다. 잘 부탁드립니다!,인사
안녕하세요!,인사
어제보다 더 좋은 하루가 되시길 바랍니다. 😊,인사
오랜만에 인사드려요. 건강하게 잘 지내셨죠? 😊,인사
여기 처음 오셨죠? 반가워요! 😊,인사
처음 뵙겠습니다. 잘 부탁드립니다!,인사
이렇게 만나 뵙게 되어 정말 반갑습니다.,인사
음... 안녕~ 날씨 참 좋네요.,인사
오랜만에 인사드려요. 건강하게 잘 지내셨죠? 😊,인사
"여러분 안녕하십니까, 이렇게 다시 만나니 기쁘네요~.",인사
오늘 하루도 좋은 하루 되세요.,인사
이렇게 만나 뵙게 되어 정말 반갑습니다. 😊,인사
오늘 하루도 좋은 하루 되세요. 😊,인사
음... 여기 처음 오셨죠? 반가워요!,인사
"여러분 안녕하십니까, 이렇게 다시 만나니 기쁘네요.",인사
안녕하세요!,인사
안녕하세요!,인사
좋은 아침이에요! 오늘도 힘차게 시작해요!,인사
여기 처음 오셨죠? 반가워요! 😊,인사
오늘 하루도 좋은 하루 되세요~.,인사
좋은 아침이에요! 오늘도 힘차게 시작해요!,인사
오랜만에 인사드려요. 건강하게 잘 지내셨죠? 😊,인사
안녕하세요!,인사
음... 여기 처음 오셨죠? 반가워요!,인사
어제보다 더 좋은 하루가 되시길 바랍니다. 😊,인사
안녕하세요!,인사
안녕~ 날씨 참 좋네요.,인사
"여러분 안녕하십니까, 이렇게 다시 만나니 기쁘네요. 😊",인사
오랜만에 인사드려요. 건강하게 잘 지내셨죠? 😊,인사
오늘 하루도 좋은 하루 되세요.,인사
여기 처음 오셨죠? 반가워요!,인사
음... 어제보다 더 좋은 하루가 되시길 바랍니다.,인사
음... 좋은 아침이에요! 오늘도 힘차게 시작해요!,인사
여기 처음 오셨죠? 반가워요! 😊,인사
안녕~ 날씨 참 좋네요. 😊,인사
어제보다 더 좋은 하루가 되시길 바랍니다. 😊,인사
안녕~ 날씨 참 좋네요. 😊,인사
음... 여기 처음 오셨죠? 반가워요!,인사
이렇게 만나 뵙게 되어 정말 반갑습니다. 😊,인사
이렇게 만나 뵙게 되어 정말 반갑습니다.,인사
어제보다 더 좋은 하루가 되시길 바랍니다. 😊,인사
음... 오늘 하루도 좋은 하루 되세요.,인사
음... 처음 뵙겠습니다. 잘 부탁드립니다!,인사
이렇게 만나 뵙게 되어 정말 반갑습니다. 😊,인사
안녕하세요!,인사
안녕하세요! 😊,인사
이렇게 만나 뵙게 되어 정말 반갑습니다. 😊,인사
안녕~ 날씨 참 좋네요.,인사
음... 오랜만에 인사드려요. 건강하게 잘 지내셨죠?,인사
"여러분 안녕하십니까, 이렇게 다시 만나니 기쁘네요.",인사
음... 좋은 아침이에요! 오늘도 힘차게 시작해요!,인사
좋은 아침이에요! 오늘도 힘차게 시작해요! 😊,인사
오늘 하루도 좋은 하루 되세요~.,인사
여기 처음 오셨죠? 반가워요!,인사
음... 안녕~ 날씨 참 좋네요.,인사
안녕하세요! 😊,인사
여기 처음 오셨죠? 반가워요!,인사
음... 좋은 아침이에요! 오늘도 힘차게 시작해요!,인사
이렇게 만나 뵙게 되어 정말 반갑습니다. 😊,인사
오랜만에 인사드려요. 건강하게 잘 지내셨죠?,인사
음... 어제보다 더 좋은 하루가 되시길 바랍니다.,인사
음... 안녕~ 날씨 참 좋네요.,인사
좋은 아침이에요! 오늘도 힘차게 시작해요! 😊,인사
"여러분 안녕하십니까, 이렇게 다시 만나니 기쁘네요~.",인사
어제보다 더 좋은 하루가 되시길 바랍니다.,인사
여기 처음 오셨죠? 반가워요!,인사
오늘 하루도 좋은 하루 되세요.,인사
오랜만에 인사드려요. 건강하게 잘 지내셨죠? 😊,인사
오늘 하루도 좋은 하루 되세요. 😊,인사
안녕~ 날씨 참 좋네요. 😊,인사
이렇게 만나 뵙게 되어 정말 반갑습니다. 😊,인사
음... 안녕하세요!,인사
음... 이렇게 만나 뵙게 되어 정말 반갑습니다.,인사
이렇게 만나 뵙게 되어 정말 반갑습니다.,인사
안녕하세요! 😊,인사
오랜만에 인사드려요~. 건강하게 잘 지내셨죠?,인사
"음... 여러분 안녕하십니까, 이렇게 다시 만나니 기쁘네요.",인사
처음 뵙겠습니다. 잘 부탁드립니다!,인사
여기 처음 오셨죠? 반가워요~!,인사
어제보다 더 좋은 하루가 되시길 바랍니다. 😊,인사
안녕~ 날씨 참 좋네요. 😊,인사
이렇게 만나 뵙게 되어 정말 반갑습니다. 😊,인사
안녕~ 날씨 참 좋네요. 😊,인사
오랜만에 인사드려요. 건강하게 잘 지내셨죠?,인사
오늘 하루도 좋은 하루 되세요.,인사
여기 처음 오셨죠? 반가워요! 😊,인사
음... 안녕하세요!,인사
어제보다 더 좋은 하루가 되시길 바랍니다.,인사
"여러분 안녕하십니까, 이렇게 다시 만나니 기쁘네요.",인사
오늘 하루도 좋은 하루 되세요.,인사
이렇게 만나 뵙게 되어 정말 반갑습니다. 😊,인사
오랜만에 인사드려요. 건강하게 잘 지내셨죠?,인사
음... 오늘 하루도 좋은 하루 되세요.,인사
오늘 하루도 좋은 하루 되세요. 😊,인사
음... 안녕하세요!,인사
음... 안녕하세요!,인사
처음 뵙겠습니다. 잘 부탁드립니다!,인사
이렇게 만나 뵙게 되어 정말 반갑습니다.,인사
음... 오늘 하루도 좋은 하루 되세요.,인사
음... 좋은 아침이에요! 오늘도 힘차게 시작해요!,인사
좋은 아침이에요~! 오늘도 힘차게 시작해요~!,인사
좋은 아침이에요~! 오늘도 힘차게 시작해요~!,인사
이렇게 만나 뵙게 되어 정말 반갑습니다. 😊,인사
안녕하세요~!,인사
어제보다 더 좋은 하루가 되시길 바랍니다.,인사
"음... 여러분 안녕하십니까, 이렇게 다시 만나니 기쁘네요.",인사
이렇게 만나 뵙게 되어 정말 반갑습니다.,인사
"여러분 안녕하십니까, 이렇게 다시 만나니 기쁘네요.",인사
이렇게 만나 뵙게 되어 정말 반갑습니다.,인사
"여러분 안녕하십니까, 이렇게 다시 만나니 기쁘네요~.",인사
안녕~ 날씨 참 좋네요. 😊,인사
"여러분 안녕하십니까, 이렇게 다시 만나니 기쁘네요.",인사
안녕~ 날씨 참 좋네요. 😊,인사
음... 오랜만에 인사드려요. 건강하게 잘 지내셨죠?,인사
어제보다 더 좋은 하루가 되시길 바랍니다. 😊,인사
좋은 아침이에요! 오늘도 힘차게 시작해요!,인사
"여러분 안녕하십니까, 이렇게 다시 만나니 기쁘네요. 😊",인사
음... 오랜만에 인사드려요. 건강하게 잘 지내셨죠?,인사
이렇게 만나 뵙게 되어 정말 반갑습니다. 😊,인사
좋은 아침이에요! 오늘도 힘차게 시작해요!,인사
안녕하세요!,인사
좋은 아침이에요! 오늘도 힘차게 시작해요! 😊,인사
처음 뵙겠습니다. 잘 부탁드립니다!,인사
음... 이렇게 만나 뵙게 되어 정말 반갑습니다.,인사
안녕~ 날씨 참 좋네요.,인사
오늘 하루도 좋은 하루 되세요. 😊,인사
좋은 아침이에요~! 오늘도 힘차게 시작해요~!,인사
안녕~ 날씨 참 좋네요~.,인사
안녕하세요! 😊,인사
음... 여기 처음 오셨죠? 반가워요!,인사
여기 처음 오셨죠? 반가워요!,인사
오늘 하루도 좋은 하루 되세요.,인사
"음... 여러분 안녕하십니까, 이렇게 다시 만나니 기쁘네요.",인사
음... 이렇게 만나 뵙게 되어 정말 반갑습니다.,인사
오랜만에 인사드려요. 건강하게 잘 지내셨죠?,인사
안녕하세요! 😊,인사
안녕~ 날씨 참 좋네요.,인사
안녕~ 날씨 참 좋네요. 😊,인사
음... 여기 처음 오셨죠? 반가워요!,인사
좋은 아침이에요! 오늘도 힘차게 시작해요!,인사
"여러분 안녕하십니까, 이렇게 다시 만나니 기쁘네요. 😊",인사
음... 처음 뵙겠습니다. 잘 부탁드립니다!,인사
"여러분 안녕하십니까, 이렇게 다시 만나니 기쁘네요. 😊",인사
이렇게 만나 뵙게 되어 정말 반갑습니다.,인사
음... 안녕하세요!,인사
좋은 아침이에요! 오늘도 힘차게 시작해요!,인사
안녕~ 날씨 참 좋네요. 😊,인사
음... 오랜만에 인사드려요. 건강하게 잘 지내셨죠?,인사
안녕하세요! 😊,인사
여기 처음 오셨죠? 반가워요!,인사
처음 뵙겠습니다. 잘 부탁드립니다! 😊,인사
좋은 아침이에요! 오늘도 힘차게 시작해요! 😊,인사
이렇게 만나 뵙게 되어 정말 반갑습니다.,인사
이렇게 만나 뵙게 되어 정말 반갑습니다. 😊,인사
오랜만에 인사드려요. 건강하게 잘 지내셨죠?,인사
음... 처음 뵙겠습니다. 잘 부탁드립니다!,인사
여기 처음 오셨죠? 반가워요!,인사
음... 어제보다 더 좋은 하루가 되시길 바랍니다.,인사
안녕하세요! 😊,인사
처음 뵙겠습니다. 잘 부탁드립니다! 😊,인사
안녕하세요!,인사
음... 오랜만에 인사드려요. 건강하게 잘 지내셨죠?,인사
"여러분 안녕하십니까, 이렇게 다시 만나니 기쁘네요. 😊",인사
어제보다 더 좋은 하루가 되시길 바랍니다.,인사
음... 어제보다 더 좋은 하루가 되시길 바랍니다.,인사
처음 뵙겠습니다. 잘 부탁드립니다!,인사
오랜만에 인사드려요. 건강하게 잘 지내셨죠?,인사
음... 안녕~ 날씨 참 좋네요.,인사
이렇게 만나 뵙게 되어 정말 반갑습니다.,인사
어제보다 더 좋은 하루가 되시길 바랍니다.,인사
음... 어제보다 더 좋은 하루가 되시길 바랍니다.,인사
음... 어제보다 더 좋은 하루가 되시길 바랍니다.,인사
안녕하세요! 😊,인사
음... 좋은 아침이에요! 오늘도 힘차게 시작해요!,인사
이렇게 만나 뵙게 되어 정말 반갑습니다.,인사
"여러분 안녕하십니까, 이렇게 다시 만나니 기쁘네요.",인사
여기 처음 오셨죠? 반가워요!,인사
음... 처음 뵙겠습니다. 잘 부탁드립니다!,인사
"음... 여러분 안녕하십니까, 이렇게 다시 만나니 기쁘네요.",인사
오늘 하루도 좋은 하루 되세요~.,인사
음... 좋은 아침이에요! 오늘도 힘차게 시작해요!,인사
"음... 여러분 안녕하십니까, 이렇게 다시 만나니 기쁘네요.",인사
오늘 하루도 좋은 하루 되세요. 😊,인사
여기 처음 오셨죠? 반가워요~!,인사
어제보다 더 좋은 하루가 되시길 바랍니다.,인사
음... 처음 뵙겠습니다. 잘 부탁드립니다!,인사
음... 안녕하세요!,인사
어제보다 더 좋은 하루가 되시길 바랍니다. 😊,인사
안녕하세요!,인사
음... 오늘 하루도 좋은 하루 되세요.,인사
안녕하세요! 😊,인사
안녕~ 날씨 참 좋네요.,인사
오늘 하루도 좋은 하루 되세요.,인사
처음 뵙겠습니다. 잘 부탁드립니다! 😊,인사
좋은 아침이에요! 오늘도 힘차게 시작해요!,인사
"여러분 안녕하십니까, 이렇게 다시 만나니 기쁘네요.",인사
음... 좋은 아침이에요! 오늘도 힘차게 시작해요!,인사
오늘 하루도 좋은 하루 되세요.,인사
오랜만에 인사드려요. 건강하게 잘 지내셨죠?,인사
여기 처음 오셨죠? 반가워요!,인사
생각지도 못한 도움을 주셔서 너무 감사합니다.,감사
큰 도움이 되었어요. 너무 고마워요.,감사
정말 감사합니다.,감사
당신의 배려에 깊은 감사를 드립니다.,감사
음... 고마워요. 덕분에 잘 해결됐어요.,감사
항상 신경 써줘서 고마워요. 😊,감사
음... 고마워요. 덕분에 잘 해결됐어요.,감사
생각지도 못한 도움을 주셔서 너무 감사합니다.,감사
음... 정말 감사한 일이었어요. 말로 다 표현 못해요.,감사
음... 고마워요. 덕분에 잘 해결됐어요.,감사
정말 감사한 일이었어요. 말로 다 표현 못해요. 😊,감사
당신의 배려에 깊은 감사를 드립니다.,감사
음... 정말 감사합니다.,감사
제가 어려울 때 도와주셔서 진심으로 감사해요. 😊,감사
음... 고마워요. 덕분에 잘 해결됐어요.,감사
음... 제가 어려울 때 도와주셔서 진심으로 감사해요.,감사
항상 신경 써줘서 고마워요.,감사
음... 정말 감사한 일이었어요. 말로 다 표현 못해요.,감사
항상 신경 써줘서 고마워요~.,감사
제가 어려울 때 도와주셔서 진심으로 감사해요. 😊,감사
정말 감사한 일이었어요. 말로 다 표현 못해요.,감사
제가 어려울 때 도와주셔서 진심으로 감사해요~.,감사
음... 모든 도움에 진심으로 감사드립니다.,감사
고마워요. 덕분에 잘 해결됐어요. 😊,감사
항상 신경 써줘서 고마워요.,감사
생각지도 못한 도움을 주셔서 너무 감사합니다. 😊,감사
고마워요. 덕분에 잘 해결됐어요.,감사
이 은혜는 평생 잊지 못할 거예요~. 진심으로 감사드립니다.,감사
모든 도움에 진심으로 감사드립니다. 😊,감사
모든 도움에 진심으로 감사드립니다.,감사
모든 도움에 진심으로 감사드립니다.,감사
고마워요. 덕분에 잘 해결됐어요.,감사
음... 항상 신경 써줘서 고마워요.,감사
제가 어려울 때 도와주셔서 진심으로 감사해요~.,감사
정말 감사한 일이었어요. 말로 다 표현 못해요.,감사
생각지도 못한 도움을 주셔서 너무 감사합니다.,감사
정말 감사합니다.,감사
음... 제가 어려울 때 도와주셔서 진심으로 감사해요.,감사
고마워요~. 덕분에 잘 해결됐어요~.,감사
생각지도 못한 도움을 주셔서 너무 감사합니다. 😊,감사
큰 도움이 되었어요. 너무 고마워요.,감사
제가 어려울 때 도와주셔서 진심으로 감사해요~.,감사
당신의 배려에 깊은 감사를 드립니다.,감사
음... 정말 감사합니다.,감사
이 은혜는 평생 잊지 못할 거예요. 진심으로 감사드립니다.,감사
제가 어려울 때 도와주셔서 진심으로 감사해요.,감사
당신의 배려에 깊은 감사를 드립니다.,감사
제가 어려울 때 도와주셔서 진심으로 감사해요~.,감사
모든 도움에 진심으로 감사드립니다.,감사
음... 제가 어려울 때 도와주셔서 진심으로 감사해요.,감사
이 은혜는 평생 잊지 못할 거예요. 진심으로 감사드립니다. 😊,감사
음... 큰 도움이 되었어요. 너무 고마워요.,감사
고마워요. 덕분에 잘 해결됐어요.,감사
모든 도움에 진심으로 감사드립니다. 😊,감사
고마워요. 덕분에 잘 해결됐어요. 😊,감사
이 은혜는 평생 잊지 못할 거예요. 진심으로 감사드립니다.,감사
정말 감사합니다.,감사
정말 감사한 일이었어요~. 말로 다 표현 못해요~.,감사
큰 도움이 되었어요~. 너무 고마워요~.,감사
생각지도 못한 도움을 주셔서 너무 감사합니다. 😊,감사
제가 어려울 때 도와주셔서 진심으로 감사해요.,감사
고마워요. 덕분에 잘 해결됐어요. 😊,감사
정말 감사합니다. 😊,감사
생각지도 못한 도움을 주셔서 너무 감사합니다.,감사
모든 도움에 진심으로 감사드립니다.,감사
음... 모든 도움에 진심으로 감사드립니다.,감사
음... 항상 신경 써줘서 고마워요.,감사
이 은혜는 평생 잊지 못할 거예요. 진심으로 감사드립니다. 😊,감사
음... 모든 도움에 진심으로 감사드립니다.,감사
이 은혜는 평생 잊지 못할 거예요. 진심으로 감사드립니다. 😊,감사
제가 어려울 때 도와주셔서 진심으로 감사해요~.,감사
음... 당신의 배려에 깊은 감사를 드립니다.,감사
정말 감사합니다. 😊,감사
정말 감사합니다.,감사
모든 도움에 진심으로 감사드립니다.,감사
음... 항상 신경 써줘서 고마워요.,감사
모든 도움에 진심으로 감사드립니다.,감사
고마워요. 덕분에 잘 해결됐어요.,감사
당신의 배려에 깊은 감사를 드립니다. 😊,감사
음... 모든 도움에 진심으로 감사드립니다.,감사
이 은혜는 평생 잊지 못할 거예요. 진심으로 감사드립니다.,감사
생각지도 못한 도움을 주셔서 너무 감사합니다. 😊,감사
당신의 배려에 깊은 감사를 드립니다.,감사
큰 도움이 되었어요~. 너무 고마워요~.,감사
고마워요. 덕분에 잘 해결됐어요.,감사
생각지도 못한 도움을 주셔서 너무 감사합니다. 😊,감사
제가 어려울 때 도와주셔서 진심으로 감사해요.,감사
음... 고마워요. 덕분에 잘 해결됐어요.,감사
제가 어려울 때 도와주셔서 진심으로 감사해요~.,감사
정말 감사합니다.,감사
당신의 배려에 깊은 감사를 드립니다. 😊,감사
항상 신경 써줘서 고마워요.,감사
정말 감사합니다.,감사
음... 생각지도 못한 도움을 주셔서 너무 감사합니다.,감사
정말 감사한 일이었어요. 말로 다 표현 못해요. 😊,감사
이 은혜는 평생 잊지 못할 거예요. 진심으로 감사드립니다. 😊,감사
정말 감사합니다. 😊,감사
생각지도 못한 도움을 주셔서 너무 감사합니다. 😊,감사
고마워요~. 덕분에 잘 해결됐어요~.,감사
큰 도움이 되었어요. 너무 고마워요.,감사
항상 신경 써줘서 고마워요. 😊,감사
모든 도움에 진심으로 감사드립니다. 😊,감사
제가 어려울 때 도와주셔서 진심으로 감사해요. 😊,감사
당신의 배려에 깊은 감사를 드립니다.,감사
제가 어려울 때 도와주셔서 진심으로 감사해요~.,감사
음... 제가 어려울 때 도와주셔서 진심으로 감사해요.,감사
정말 감사한 일이었어요. 말로 다 표현 못해요. 😊,감사
정말 감사합니다.,감사
제가 어려울 때 도와주셔서 진심으로 감사해요~.,감사
고마워요. 덕분에 잘 해결됐어요. 😊,감사
이 은혜는 평생 잊지 못할 거예요. 진심으로 감사드립니다. 😊,감사
정말 감사합니다.,감사
음... 항상 신경 써줘서 고마워요.,감사
정말 감사합니다.,감사
제가 어려울 때 도와주셔서 진심으로 감사해요.,감사
큰 도움이 되었어요. 너무 고마워요. 😊,감사
생각지도 못한 도움을 주셔서 너무 감사합니다.,감사
음... 고마워요. 덕분에 잘 해결됐어요.,감사
항상 신경 써줘서 고마워요. 😊,감사
생각지도 못한 도움을 주셔서 너무 감사합니다.,감사
정말 감사한 일이었어요. 말로 다 표현 못해요.,감사
고마워요. 덕분에 잘 해결됐어요.,감사
정말 감사합니다.,감사
이 은혜는 평생 잊지 못할 거예요. 진심으로 감사드립니다. 😊,감사
생각지도 못한 도움을 주셔서 너무 감사합니다. 😊,감사
정말 감사한 일이었어요. 말로 다 표현 못해요. 😊,감사
고마워요. 덕분에 잘 해결됐어요. 😊,감사
음... 모든 도움에 진심으로 감사드립니다.,감사
생각지도 못한 도움을 주셔서 너무 감사합니다.,감사
모든 도움에 진심으로 감사드립니다.,감사
당신의 배려에 깊은 감사를 드립니다.,감사
항상 신경 써줘서 고마워요.,감사
당신의 배려에 깊은 감사를 드립니다.,감사
정말 감사한 일이었어요. 말로 다 표현 못해요. 😊,감사
제가 어려울 때 도와주셔서 진심으로 감사해요~.,감사
생각지도 못한 도움을 주셔서 너무 감사합니다.,감사
생각지도 못한 도움을 주셔서 너무 감사합니다. 😊,감사
정말 감사한 일이었어요. 말로 다 표현 못해요. 😊,감사
